	8	
	AK	
	Andrej	
	AК	
	DB	
	Int	
	LI	
	RAI	
	REI	
	S	
	ajλi	
	albina	
	altijst	
	ampeλ	
	amtəs	
	ana	
	ananaj	
	andrej	
	ant	PART
	artaśman	
	artaśti	
	arŋ	
	ata	
	atew	
	atma	
	atəŋ	
	ańχɛm	
	aŋkew	
	aŋkewa	
	aŋkewən	
	aŋkija	
	aŋkije	
	aŋkijew	
	aŋkɛŋəλ	
	aŋlɛmasəw	
	aŋśaśɛm	
	aŋən	
	aŋənəλ	
	aśew	
	aśeλən	
	aśɛŋəλ	
	aλnɵmλa	
	aλśəti	
	aλəŋən	
	aλɛməsŋən	
	aλλˊa	
	aχa	
	beloj	
	coughs	
	ee	
	ew	
	eweŋ	
	ewijeλ	
	ewtəm	
	ewəttijən	
	ewətλajət	
	govorit	
	ikileŋken	
	imew	
	iməλti	
	itɛm	
	ińśəsa	
	ińśəsti	
	iλs	
	iχtəmət	
	iχətsəλλe	
	jańśɛmiλəs	
	jańśɛməs	
	je	
	ješaśsət	
	ješaśti	
	jeλta	
	jeχaλ	
	jirsəλλe	
	jirəmmeλ	
	jiλn	
	jon	
	jošəλa	
	joχarta	
	joχλaλa	
	ju	
	jurɛməsλe	
	juwərtəmət	
	juwɛməλət	
	juχat	
	juχtantəs	
	juχti	
	juχtijəλti	
	juχtəmsa	
	juχtəmtəλ	
	juχtəptiλəs	
	juχətmaλ	
	juχətmaλǝn	
	juχətmeλ	
	juχətsajŋən	
	juχətsajət	
	juχətsajəw	
	juχətsəŋən	
	jăkti	
	jămaśti	
	jăŋχman	
	jăŋχtijən	
	jăŋχtɛm	
	jăŋχλəŋən	
	jɛtša	
	jɵšena	
	jɵšew	
	jɵšeλ	
	jʉwati	
	jʉwəntəλ	
	jʉwəntλət	
	jʉχi	
	jʉχətsəw	
	k	
	kajojin	
	kasəλəs	
	katre	
	katəλsa	
	katəλsajŋən	
	katλtijn	
	katλtən	
	katλəssət	
	katλλ	
	katλλa	
	katλλajət	
	katλλət	
	kašeλ	
	kaši	
	ke	
	ketməs	
	keλλi	
	kimλta	
	kirsaśmeλ	
	kirsət	
	kirti	
	kirλa	
	kus	
	kuλˊajən	
	kănšti	
	kănλ	
	kănλəλ	
	kătsir	
	kătsəršakət	
	kătsəršə	
	kătŋən	
	kătŋəλən	
	kătŋɛm	
	kătλman	
	kătλəptəsi	
	kăλijɛŋ	
	kɛrətˊλˊəsət	
	kɵreλ	
	kɵrtena	
	kɵrtewa	
	kɵrteλa	
	kɵrteλən	
	kɵrtɛm	
	kɵrtλən	
	kʉ	
	kʉnšəmsajəm	
	kʉnšɛməmeλ	
	kʉra	
	kʉrlisa	
	kʉtije	
	kʉλˊŋən	
	kʉλˊət	
	lak	
	lana	
	lapənman	
	leŋkeλən	
	liŋken	
	lupsajəŋən	
	luptaλ	
	lupteλ	
	lupλəw	
	lăp jirsəλλe	
	m	
	meń	
	meŋk	
	meŋkŋən	
	meŋkλaλ	
	mijət	
	mirəλa	
	mišen	
	mmm	
	mojiλa	
	mojλaλ	
	mojλaλət	
	mojλupsi	
	mojλupsijət	
	mojλəpsijət	
	mojλəpsətən	
	mojλəti	
	mojλəλ	
	mojλəλəw	
	mojλəλλe	
	moləpśəŋ	
	možno	
	mujew	
	mutšańśijəλsəm	
	mutšańśɛməsət	
	mutšańśλət	
	muλtet	
	muλtetən	
	muλti aratən	
	muλχ	
	mănati	
	măniλəs	
	mănsajtən	
	mănsəw	
	măntaλən	
	mănten	
	mănλa	
	mănλəmən	
	mărŋəλtijəλλən	
	mărɛmn	
	măša	
	mǎnti	
	mɛnɛməmaλ	
	mɛŋk	
	mɵstəλ	
	nado	
	naja	
	nawrəλtijəλλəw	
	nawrəλtsajəm	
	naχsăŋ	
	ne	
	nijɛm	
	ninana	
	nir	
	no	
	numsijen	
	numsəλən	
	nuplub	
	nur	
	nuša	
	nɛmtəm	
	nɛmətsa	
	nɵməsijəλλəm	
	nɵməsijəλλəŋən	
	nɵməstija	
	nɵmλəλλe	
	nөmsλew	
	o	
	obazatelno	
	omsijəλmaλ	
	omsijəλti	
	omsijəλλəm	
	omsəmtijəλmaλ	
	omsəmŋən	
	omsəλsajəm	
	oməsantəs	
	oməsmaλ	V.PTCP;PST;ARGNO3;ARGNOP
	oməssa	V;PST;PASS;ARGNO3;ARGNOS
	oməssajət	V;PST;PASS;ARGNO3;ARGNOP
	oməssəm	V;PST;ARGNO1;ARGNOS
	oməsti	V.PTCP;PRS
	oməsλ	V;PRS;ARGNO3;ARGNOS
	oməsλət	V;PRS;ARGNO3;ARGNOP
	oooo	
	op	
	opornaja	
	owew	
	owewa	
	oλumλ	
	oλŋitsəλλe	
	oλəmən	
	oχəλ	
	oχəλaλ	
	p	
	paije	
	pakniλəs	
	pakənman	
	pakənsəŋən	
	pakəntsət	
	pamətman	
	pamətti	
	pannɛ	
	panăn	
	partijəλti	
	partλajəw	
	pasər	
	pawlowičen	
	pawte	
	pawtijəλsəm	
	pawtəmŋən	
	pawtəsa	
	pawərtət	
	paχojat	
	perwij	
	pewərsəm	
	pewəλλəmən	
	pewəλλəŋən	
	peλkaλ	
	pirəśŋəλ	
	pitmɛm	
	pitrən	
	pitsəŋən	
	pitsəλti	
	pitəmsa	
	pitəmλən	
	pitλən	
	pitλətən	
	pińśəsət	
	piś	
	piλama	
	piλana	
	piλaŋa	
	piλeλa	
	piλma	
	piλtəśman	
	pojəkśijəλ	
	pomuta	
	pomət	
	poresti	
	porijeŋ	
	porəχλən	
	postəti	
	posən	
	pošχijəm	
	poχənsət	
	punsa	
	punsajət	
	purajewən	
	purtəm	
	purəməs	
	puteλ	
	putrɛməλət	
	putəra	
	putərtsəλλe	
	putərtəλ	
	putərtλəλλe	
	puχen	
	puχew	
	puχije	
	puχɛm	
	păpajen	
	păsta	
	păt	
	pătlamən	
	păλattijən	
	păλattɛŋət	
	păλattɛλən	
	păλtaptǝti	
	păλtapət	
	păλŋəλ	
	păλλa	
	păλλaŋən	
	pɛləkəλ	
	pɛλana	
	pɛλkəλ	
	pɵjəkśəλ	
	pɵrəntəm	
	pɵsŋət	
	pɵsŋəλ	
	pɵsŋɛmən	
	pɵsəməti	
	pɵšəs	
	pʉknəλ	
	pʉšija	
	riməχa	
	riwλət	
	romməλtəmŋən	
	runməλtəλ	
	răkənmaλ	
	răńpijəmŋən	
	rɵtn	
	rʉwən	
	saśən	
	saśλəŋən	
	saχteλa	
	saχətteλa	
	sewərməλλe	
	sewərsəλλe	
	sewɛrməλλe	
	sijaśati	
	sijaśman	
	siw keλλaλ	
	siŋəλ	
	sojpăλ	
	sojəp	
	sojχəmtəλ	
	sorok	
	sorəλti	
	sotəm	
	surməλ	
	surta	
	surteλ	
	surtije	
	suχijenən	
	săməλ	
	săməλən	
	sămλaλ	
	sămλən	
	sə	
	səχən	
	sɛmpi	
	sɛmŋəλan	
	sɛmən	
	sɛməλ	
	sɛmλaŋən	
	sɛŋkəλsət	
	sɛŋkλajət	
	sɵjpăti	
	sɵnən	
	sɵrə	
	sɵλijeλaλ	
	sɵλijeλən	
	sɵχtijəλti	
	sɵχtəs	
	sɵχtəsλaλ	
	sɵχtəλ	
	sɵχtəλλəw	
	sɵχəmən	
	sʉrijəλ	
	sʉrtəλ	
	sʉλtǝmλaλ	
	t	
	ta	
	tantra	
	tantrajen	
	tantrajn	
	tanχa	
	tarnəŋ	
	taλsəλe	
	taλsəλλe	
	taλtaet	
	taλən	
	taχewa	
	teiλt	
	tewənλəsi	
	ti	
	tinśaŋa	
	tinśaŋen	
	tinśaŋən	
	tińśaŋən	
	toχ	
	turməλ	
	turməλəλλe	
	tuλta	
	tuχ	
	tă	
	tăjsa	
	tăjtaŋ	
	tăjtəŋ	
	tăjλajət	
	tămen	
	tărmatsət	
	tăχet	
	tăχtem	
	tăχəmət	
	tăχəməti	
	tăχəməλət	
	tăχɛmən	
	tǎjs	
	tǎm	
	tǎχijən	
	tɛknəptəsλe	
	tɛrmaλəman	
	tɵrəma	
	tɵtˊλaλən	
	tɵtλˊəsijəm	
	tɵtλˊəλ	
	tɵtλˊɛməλət	
	tɵλət	
	tɵλɵ	
	tɵχərsəλe	
	tʉləmman	
	tʉləmsət	
	tʉwaλǝn	
	tˊojijəλ	
	tˊɵtˊi	
	tөp	
	tөλλe	
	ullotλawa	
	usmew	
	utijet	
	utli jʉwman	
	utli jʉwmaλ	
	utteλ	
	utŋən	
	utŋəλ	
	utŋəλamən	
	utəmət	
	utətən	
	utλan	
	uśχʉλˊ	
	ušəm	
	ušəλ	
	uλati	
	uλsəŋən	
	uλəmλəw	
	uλən	
	uχλən	
	vopśem	
	vsˊo	
	wanaməs	
	wantijəλλəm	
	wantijəλλəw	
	wantsa	
	wantsew	
	wantsən	
	wanttɛmən	
	wantλew	
	wantλəλən	
	wanəλtijəλsajəm	
	wanλtiλəs	
	wanλtəλew	
	warən	
	wejin	
	wejən	
	wi	
	widimo	
	wiλle	
	wortmal	
	wortəsti	
	woŋχti	
	wošena	
	wošeλa	
	wošətsəλam	
	wošətλəw	
	woχλəs	
	wsɵ	
	wtoroj	
	wu	
	wueλ	
	wujəmsajəm	
	wujʉm	
	wur	
	wurŋajen	
	wutpijən	
	wuλta	
	wɛ	
	wɛrantijəλ	
	wɛrašək	
	wɛrəmsəŋən	
	wɛrəntijəλ	
	wɛrənλa	
	wɛrɛm	
	wɛrλəm	
	wɛrλəmeλən	
	wɛrλəwən	
	wɛrλɛm	
	wɵjaλən	
	wɵje	
	wɵjtsəλλən	
	wɵjətsajət	
	wɵjətλa	
	wɵnat	
	wɵntəpəλ	
	wɵnəλtətəλən	
	wɵrta	
	wɵrtman	
	wɵsmaλ	
	wɵsλe	
	wɵtšəsət	
	wɵśiλˊman	
	wɵλa	
	wɵλen	
	wɵλijət	
	wɵλmen	
	wɵλmeλ	
	wɵλmətsəŋən	
	wɵλteλən	
	wɵλəpsija	
	wʉje	
	wʉjmaλ	
	wʉra	
	wʉramije	
	wʉrśəken	
	wʉrət	
	wʉsλəm	
	wʉtśijəλseλ	
	wʉλijet	
	wʉλijeλan	
	wʉλijeλən	
	wʉλiλam	
	wʉλiλamən	
	wʉλiλew	
	wʉλɛŋəλ	
	wʉλλe	
	wөn	
	wөnta	
	wөti	
	wөλ	
	wөλti	
	wөλɛm	
