	#	
	#!	
	#!#	
	#!#|#	
	#!“#	
	#!”#	
	#"#	
	#(#	
	#)#	
	#,	
	#,#	
	#,#|#	
	#.	
	#.#	
	#.“#	
	#.”	
	#.”#	
	#:#	
	#;#	
	#?!#	
	#?#	
	#?“#	
	#?”	
	#?”#	
	#|#	
	#–#	
	#“#	
	#”#	
	#”,	
	#”.#	
	.#	
	.”#	
	1	
	10	
	15	
	2	
	3	
	4	
	5	
	6	
	–#	
aktəś	aktəśa	v;IMP.2SG_
aktəś	aktəśsajət	v;PST;PASS;3PL
aktəś	aktəśsət	v;PST;3PL
aktəś	aktəśtət	v;PRS;3PL
aktəś	aktəśλət	v;PRS;3PL
akəm	akəmsət	v;PST;3PL
akəm	akəmλət	v;PRS;3PL
ala	alla	subs
amamətśi	amamətśɛm	subs;SG<1SG
amərλə	amərλəti	v;INF
ant	an	ptcl
ant	ant	ptcl
ant	anta	ptcl
ant	antəs	v;PST[3SG]
ant pă	an pă	ptcl
antəp	antəp	subs
antəp	antəpəλ	subs;SG<3SG
antəp jʉλ	antəp jʉλ	subs
antɵm	antɵ	ptcl
antɵm	antɵm	ptcl
as	asλi	subs;ABE
at	at	ptcl
aŋki	aŋken	subs;SG<2SG
aŋki	aŋken	subs;SG<3DU
aŋki	aŋkeλ	subs;SG<3SG
aŋki	aŋkɛŋən	subs;DU
aŋki	aŋkɛŋəλ	subs;DU<3SG
aŋkərmə	aŋkərməsəm	v;PST;1SG
aŋkərmə	aŋkərməλən	v;PRS;2SG
aŋkərt	aŋkərmaλən	v;PTCP.PST;3SG;LOC
aŋkərt	aŋəλəλ	v;PRS[3SG]
aλ	aλ	adv
aλ	aλ	ptcl
aλmənti ki	aλmənti ki	adv
aλmənti ki	aλmənti ki	sconj
aλnəmλa	aλnəmλa	adv
aλpa	aλpa	adv
aλsaŋ	aλsaŋ	adj
aλt	aλt	ptcl
aλˊ	aλˊsa	v;PST;PASS[3SG]
aλˊ	ăλˊe	v;IMP.SG<2SG
aλˊśə	aλˊśəsi	v;PST;PASS[3SG]
aλˊśə	aλˊśəsijət	v;PST;PASS;3PL
aλˊśə	ăλˊśəλeλ	v;PRS;SG<3PL
aλˊśə	ăλˊśəλi	v;PRS;PASS[3SG]
aλˊλˊə	aλˊλˊəsət	v;PST;3PL
i	i	adj
i	i	cardnum
i	ij	cardnum
i mʉλtijən	i mʉλtijən	adv
i mʉλtijən	ij mʉλtijən	adv
i pʉš	i pʉš	num
i pʉš	ij pʉš	num
i śiməś	i śiməś	dem
ij jʉpijən	ij jʉpijən	adv
ij kɛm	ij kɛmət	adj;PL
ij χʉj	ij χʉj	indfpro
iki	ikenən	subs;SG<2SG;LOC
iki	iket	subs;PL
iki	ikeλ	subs;SG<3SG
iki	ikeλən	subs;SG<3SG;LOC
iki	iki	subs
iki	ikɛŋən	subs;DU
ikile	ikile	subs
ikile	ikileλ	subs;SG<3SG
ikile	ikiλeλ	subs;SG<3SG
imi	imen	subs;SG<2SG
imi	imena	subs;SG<2SG;DLAT
imi	imet	subs;PL
imi	imeta	subs;PL;DLAT
imi	imeλ	subs;SG<3SG
imi	imi	subs
imi	imisaŋən	subs;COLL;DU
